programme-page-link-href,programme-title,programme-body
https://www.gold.ac.uk/ug/bmus-music/,"BMus (Hons) 
Music","From contemporary to classical, electronic to acoustic, this degree explores a diverse range of musics across performance, composition and research.  
	
  
	In the first year of your BMus Music programme you’ll develop your solo and ensemble performance skills and you’ll learn about contemporary composition. You’ll build a foundation of historical knowledge and be introduced to debates on the music from our own time, and you’ll also explore the creative use of music technology.
In your second year, you’ll select from a large range of historical, contextual, technical or
creative modules, allowing you to continue performance studies and to further explore
contemporary composition, sonic arts, media composition, world music and jazz.
In your third year, you’ll have the opportunity to develop a substantial performance recital, portfolio of compositions or an individual creative project. You can also opt to take specialised modules in, for example, music teaching and workshop skills, gamelan, orchestration, fringe popular music, music psychology and audiovisual composition.
Why study BMus Music at Goldsmiths?

We're one of the largest university music departments in the UK, so you'll have access to a wide range of academics, including internationally established composers, performers and writers – their diversity of expertise makes this one of the most exciting undergraduate music degrees in the UK
There are professional and student-led recitals, concerts, workshops and other music events taking place every week, with opportunities to perform at Goldsmiths and in public venues
You'll have the opportunity to perform at our annual music festival PureGold, which celebrates the music created and performed at Goldsmiths
You'll be within easy reach of central London's many venues, concert halls, opera houses and research libraries, providing a great international focus
You'll be encouraged to construct a path of study that develops and explores the interrelationship between music as a creative and practical endeavour, and music as an intellectual study
We encourage ambition and independence, and will help you think about the kind of musician you want to be
Employers look for initiative-driven graduates who think critically about their actions, work well with others and adapt quickly to new ideas. This degree will help you develop these skills – sometimes without you noticing!

Individual vocal and instrumental tuition
Our location in London means that we're able to attract visiting instrumental and vocal teachers of the highest quality, with many of our staff also teaching at the major music conservatoires. We provide a generous allocation of tuition time. Our performance modules are supplemented with ensemble classes and workshops/masterclasses given by top professional musicians.

First-year BMus Music students are currently entitled to 12 hours of one-to-one tuition per year
Tuition is available to BMus Music students taking performance options in years two and three. The Music programme currently offers 14 hours of one-to-one tuition in year two and 17 hours in year three

If you don't opt for performance modules you aren't automatically entitled to individual lessons, but we can help make private arrangements with our visiting staff, at preferential rates.

	Contact the department
	If you have specific questions about the degree, contact Dr Stephen Graham"
https://www.gold.ac.uk/ug/bmus-popular-music/,"BMus (Hons) Popular 
Music","From mainstream to underground, this degree embraces popular music in its many forms: rock, pop, folk, urban, jazz, experimental and commercial. We've even helped to set up our own independent record label, NX Records, to promote our students' work.
	
  
	Why study BMus Popular Music at Goldsmiths?

At the heart of the degree is the study of creative practice, with many opportunities to expand your skills, whether it's playing in bands or writing/performing music for film, theatre or multimedia
The programme is designed to support professional development, and we ensure graduates leave us not only with a wealth of experience and transferable skills, but also a professional portfolio to showcase their work
Our record label, NX Records, is a collaboration between the programme and Accidental Records, with the aim of promoting Goldsmiths students' work on an international stage
We're one of the largest university music departments in the UK, so you'll have access to a wide range of , including internationally established composers, performers and writers – their diversity of expertise makes this one of the most exciting undergraduate music degrees in the UK
There are professional and student-led recitals, concerts, workshops and other music events taking place every week, with opportunities to perform at Goldsmiths and in public venues
You'll have the opportunity to perform at our annual music festival PureGold, which celebrates the music created and performed at Goldsmiths
You'll be within easy reach of central London's many venues, concert halls, opera houses and research libraries, providing a great international focus
We have strong links with the music industry and have frequent high-profile speakers and performers at our lectures, masterclasses and workshops: recent sessions have included pioneering musician and producer, Matthew Herbert, MOBO-winning saxophonist and composer Soweto Kinch, vocal coaches Carrie and David Grant, The Invisible (nominated for the Mercury Music Prize 2009 and itunes Album of the Year 2009), session bass player Yolanda Charles, singer-songwriter Eska (Zero 7, Cinematic Orchestra, Ty), studio arranger Audrey Riley (Coldplay, Manic Street Preachers, Smashing Pumpkins), video and sound artist Vicki Bennett (AKA People Like Us), songwriter Darren Hayman, and producer and performance poet Charlie Dark (Attica Blues, Blacktronica)
Employers look for initiative-driven graduates who think critically about their actions, work well with others and adapt quickly to new ideas. This degree will help you develop these skills – sometimes without you noticing!


	Contact the department
	If you have specific questions about the degree, contact John Harries"
https://www.gold.ac.uk/pg/ma-music/,MA Music,"The MA Music advances your exploration of today’s music in all its complexity. From a range of stimulating pathways, you choose one that best suits your interests. Modules are shared across pathways, and are rooted in academic and practice-based research.
   
  
  
	The MA Music delivers core skills for academic research into music. Providing a uniquely creative approach to graduate studies, the degree accommodates diverse interests and approaches.
The programme and pathways available are:

MA Music (General)
Musicology (Pathway A)
Contemporary Music Studies (Pathway B)
Ethnomusicology (Pathway C)
Popular Music Research (Pathway D)

The MA Music equips graduates to take up careers in music such as journalism, teaching, broadcasting, librarianship, historically informed performance, contemporary composition, and arts administration. The programme’s modules explore music as an evolving subject, covering repertories from Western art music through to electronic, popular, audio-visual, non-Western, and contemporary repertories.

You develop systematic, critical and creative approaches, exploring musical practice, discourses, and contexts.
You develop an independent and original approach to current questions and debates.
You explore interrelationships between music and other subjects, between theory and practice, and between performance and structural interpretation.

The MA Music is an academic rather than a practice-based degree. If you're keen to study composition or performance, please explore our MMus programme and its pathways.
    
    Contact the department
	If you have specific questions about the degree, contact Dr Berta Joncus"
https://www.gold.ac.uk/pg/ma-music-contemporary-music-studies/,"MA Music (Contemporary 
Music Studies)","The MA Music (Contemporary Music Studies) examines aspects of methodology, repertoire studies and cultural theory within a wide-ranging programme of investigation into the role of contemporary music in the society for which it is created.  
  
  
	You'll explore the key methodologies appropriate for scholarly study of the music of the present and recent past, such as oral history and contrasting approaches to musical ‘close reading’.
Musical repertoires, and notions of repertoire, are examined, and you are encouraged to ask such questions as whether the boundaries often considered to exist between, for example, ‘contemporary concert music’ and ‘popular music’ are still meaningful for practitioners, listeners and scholars today.
Various approaches to cultural theory are viewed in the light of what they might bring to the study of contemporary music of different kinds.
The understandings developed in your coursework culminate in the methods and approaches demonstrated in your dissertation.
This gives you the opportunity to address particular challenges of studying and writing about the music of our time arising from your own musical and theoretical enthusiasms.
The programme appeals to a wide range of students concerned to develop their understanding of today's music and keen to harness this to relevant intellectual skills.
While designed as an open-ended programme of study that can subsequently be applied in many ways within, and outside, the musical profession, it will be of special value to those preparing for further postgraduate research, and those considering careers in teaching, journalism, arts administration or the culture industries.
    
    Contact the department
	If you have specific questions about the degree, contact Keith Potter"
https://www.gold.ac.uk/pg/ma-music-popular-music-research/,"MA Music (Popular 
Music Research)","The MA Music (Popular Music Research) engages with scholarly debates and public controversies around popular music, while examining and developing both traditional and innovative ways of researching popular music.  
  
  
	The Masters provides a grounding in the development of popular music research as a subfield of musicology, and encourages critical thinking about:

musical texts, artefacts and ecologies
audiences, reception and questions of interpretation
creativity, industries and production
repertoires broad in historical range and geographical scope

The course addresses contemporary issues of significance to academics, musicians, industries and organisations involved with popular music.
You'll develop research skills, critical thinking and rigorous methodological expertise with a range of applications both within the academy (at doctoral level) and outside (in music-related industries, marketing, arts management, museums and archives, the sciences).
Although a knowledge of and passion for popular music is vital, it is not essential that your first degree is in music or popular music.
We welcome applicants from a wide range of disciplines: the course is designed to be of benefit not only to those wishing to continue their research at doctoral level, but also those wishing to reflect on their experiences as musicians, listeners, or media and arts industry professionals.
    
    Contact the department
	If you have specific questions about the degree, contact Professor Keith Negus"
https://www.gold.ac.uk/pg/ma-arts-admin-cultural-policy-music-pathway/,"MA Arts Administration 
& Cultural Policy: 
Music Pathway","This programme builds on London's position as one of the most important musical centres in the world, with a diverse range of concert halls, theatres, cultural institutions and arts events that reflect its cosmopolitan and multicultural society.  
  
  
	Although professional management practice is a major element of the programme, the 'creative arts event' is the starting point for all teaching.
A music pathway has been added to the MA Arts Administration and Cultural Policy, which is run by the Institute for Creative and Cultural Entrepreneurship at Goldsmiths.
Instead of specialist theatre modules you take one 30 credit module from the MA Music or MMus programmes, and your dissertation/placement/business-plan will be directed towards musical organisations.
The MA introduces the key issues that concern the management of culture and in particular those within the performing arts.
Through both analysis of contemporary and recent practice, and practical work in a range of areas, you will develop a critical approach to the discipline.
The pathway provides an overview of the following areas:

arts funding structures in the UK (with reference to EU countries and the USA)
marketing for the arts
audience development
sponsorship
education programmes within the arts
programming
culture and tourism
cultural policy (including the role of the arts in national and cultural identity) and principles and structures of management

The aim of taught modules, projects and placements is to introduce you to new models of practice. These will be investigated and evaluated as a way of developing an understanding of management principles. Through this process, you will also be equipped with the necessary practical skills to enhance your potential as arts administrators.
    
    Contact the department
	If you have specific questions about the degree, contact Gerald Lidstone"
https://www.gold.ac.uk/pg/mmus-creative-practice/,"MMus Creative 
Practice","This flexible Masters is an opportunity to investigate and combine strategies for developing creative work – an inclusive and forward-thinking composition degree that acknowledges many different definitions of the term.  
  
  
	You will devise a coherent yet bespoke programme of study from an extensive list of options, and have the opportunity to uniquely blend practices from popular music, sound art, contemporary composition, ethnography and multi-media work. These modules help you engage with a variety of rigorous intellectual, critical and technical skills that will inform your work and culminate in a substantial creative project.
Depending on your module choices, you have access to the Electronic Music Studios (which offer advanced facilities for electro-acoustic composition, multichannel work and live/interactive performance) and the new Goldsmiths Music Studios (which offers a HD Pro-tools recording system and large format analogue desk). You will have the opportunity to write for and collaborate with your fellow composers and performers, and in-house ensembles; and furthermore develop collaborative and interdisciplinary projects in conjunction with other departments.
The programme is exceptionally useful for students preparing for further postgraduate practice-as-research projects, or for those wishing to develop a distinctive portfolio of work for entry into the creative industries.
    
    Contact the department
	If you have specific questions about the degree, contact John Harries"
https://www.gold.ac.uk/pg/mmus-performance/,"MMus Performance 
& Related Studies","This Masters develops your technical and interpretive abilities as a performer, informed by an understanding of style, genre, context and interpretation, as well as historical and theoretical issues relevant to your specialist repertoire.  
  
  
	You have the opportunity to engage with a range of different musical styles, and to develop those practical and intellectual skills that can make you a better informed and more accomplished performer.
You receive significant amounts of one-to-one instrumental or vocal tuition from expert performers, and participate in yearly masterclasses with distinguished international performers and teachers.
You develop your individual specialist skills to a high technical and artistic standard, while also developing intellectual and team-working skills, and you have the opportunity to perform with a variety of departmental ensembles, including Goldsmiths’ Sinfonia.
The programme offers an extensive list of elective modules that encompass historical study and the latest performance-based technologies.
The pathway is particularly suitable for those hoping to develop a career as a professional solo or chamber musician, or to develop performance skills before entering teaching, or as preparation for PhD research in performance practice.
It appeals to and can accommodate many different types of performer, whether your interests are in Classical or Romantic repertoire, or contemporary music.
    
    Contact the department
	If you have specific questions about the degree, contact Pete Furniss"
https://www.gold.ac.uk/pg/mphil-phd-music/,MPhil-PhD Music,"Goldsmiths’ Department of Music has a lively and varied research base, large postgraduate community, active performing tradition, and offers proximity to London’s resources.  
  
  
	Staff research interests are correspondingly diverse and wide-ranging, and we offer research supervision in any of these areas of specialism.
Our MPhil/PhD pathways
You can register for any one of the following:

Written thesis of up to 100,000 words (MPhil: 60,000 words). We offer supervision in many areas of music studies.
Composition. Examined by portfolio of compositions, together with a 20,000 word commentary (MPhil: 12,000 words).
Performance. Examined by a full-length recital, together with a related 50,000-word thesis (MPhil: 30,000 words).
Sonic Arts: Examined by portfolio of practice, and a 40,000-60,000 word commentary (MPhil: 20,000-30,000 words). Portfolios may include recordings, documentation of installation work, or other sonic arts work.
Practice-Based Research in Music: Examined by portfolio of practice, and a 30,000-60,000 word written element. Portfolios may include recordings of composition; documentation of performance; ethnographic film; web-based and digital humanities projects; documentation of installation; other practice-based research.

Research supervision
You are assigned members of staff qualified to supervise your research throughout your period of registration. Supervision involves regular meetings throughout the period of study, and involves the development of an intensive intellectual relationship between you and your supervisor.
Facilities
You have access to Goldsmiths’ Graduate School, containing an open-access computer room, a student common room and seminar room for use by postgraduate research students. 
Find out more about research degrees at Goldsmiths. 
    
    Contact the department
	If you have specific questions about the degree, contact Keith Negus"
https://www.gold.ac.uk/pg/mmus-composition/,MMus Composition,"The MMus Composition fosters your ability to compose and notate music, and to develop your own personal musical language.   
  
  
	You explore a wide range of technical procedures for contemporary composition and engage intellectually and critically with related theories and concepts.
There are many practical opportunities to work with performers, including the Department of Music's ensemble-in-residence, and other artistic collaborators.
The composition pathway appeals to composers interested in a wide range of contemporary music including Boulez, Stockhausen, Birtwistle, Carter, Xenakis, spectral music and improvised music.
There's a focus on fundamental issues concerning pitch, time and pulse, and covers topics such as orchestration, advanced instrumental techniques, large-scale structure.
Composers taking this pathway may elect to take options in studio-based composition, providing they have the requisite prior experience.
There are also opportunities to work with visiting professional musicians and meet visiting composers, which have included Harrison Birtwistle, Michael Finnissy, Brian Ferneyhough and Jonathan Harvey.
    
    Contact the department
	If you have specific questions about the degree, contact Roger Redgate"
